City,Abbr,Nickname,FullName,PinnacleName,RotowireName
Arizona,ARI,Diamondbacks,Arizona Diamondbacks,Arizona Diamondbacks,Arizona Diamondbacks
Atlanta,ATL,Braves,Atlanta Braves,Atlanta Braves,Atlanta Braves
Baltimore,BAL,Orioles,Baltimore Orioles,Baltimore Orioles,Baltimore Orioles
Boston,BOS,Red Sox,Boston Red Sox,Boston Red Sox,Boston Red Sox
Chicago,CHC,Cubs,Chicago Cubs,Chicago Cubs,Chicago Cubs
Cincinnati,CIN,Reds,Cincinnati Reds,Cincinnati Reds,Cincinnati Reds
Cleveland,CLE,Indians,Cleveland Indians,Cleveland Indians,Cleveland Indians
Colorado,COL,Rockies,Colorado Rockies,Colorado Rockies,Colorado Rockies
Chicago,CWS,White Sox,Chicago White Sox,Chicago White Sox,Chicago White Sox
Detroit,DET,Tigers,Detroit Tigers,Detroit Tigers,Detroit Tigers
Houston,HOU,Astros,Houston Astros,Houston Astros,Houston Astros
Kansas City,KC,Royals,Kansas City Royals,Kansas City Royals,Kansas City Royals
Los Angeles,LAA,Angels,Los Angeles Angels,LAA Angels,Los Angeles Angels
Los Angeles,LAD,Dodgers,Los Angeles Dodgers,Los Angeles Dodgers,Los Angeles Dodgers
Miami,MIA,Marlins,Miami Marlins,Miami Marlins,Miami Marlins
Milwaukee,MIL,Brewers,Milwaukee Brewers,Milwaukee Brewers,Milwaukee Brewers
Minnesota,MIN,Twins,Minnesota Twins,Minnesota Twins,Minnesota Twins
New York,NYM,Mets,New York Mets,New York Mets,New York Mets
New York,NYY,Yankees,New York Yankees,New York Yankees,New York Yankees
Oakland,OAK,Athletics,Oakland Athletics,Oakland Athletics,Oakland A's
Philadelphia,PHI,Phillies,Philadelphia Phillies,Philadelphia Phillies,Philadelphia Phillies
Pittsburgh,PIT,Pirates,Pittsburgh Pirates,Pittsburgh Pirates,Pittsburgh Pirates
San Diego,SD,Padres,San Diego Padres,San Diego Padres,San Diego Padres
Seattle,SEA,Mariners,Seattle Mariners,Seattle Mariners,Seattle Mariners
San Francisco,SF,Giants,San Francisco Giants,San Francisco Giants,San Francisco Giants
St. Louis,STL,Cardinals,St. Louis Cardinals,St. Louis Cardinals,St. Louis Cardinals
Tampa Bay,TB,Rays,Tampa Bay Rays,Tampa Bay Rays,Tampa Bay Rays
Texas,TEX,Rangers,Texas Rangers,Texas Rangers,Texas Rangers
Toronto,TOR,Blue Jays,Toronto Blue Jays,Toronto Blue Jays,Toronto Blue Jays
Washington,WSH,Nationals,Washington Nationals,Washington Nationals,Washington Nationals
